resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.5646394;0.5658563;0.632313;0.5433745;14;22
0.5646724;0.5662014;0.5656288;0.5501435;15;22
0.5647593;0.5661644;0.565622;0.5497669;15;22
0.5648167;0.5661213;0.5656307;0.5493612;15;22
0.5648457;0.5660737;0.5656547;0.548925;15;22
0.5648478;0.5660213;0.5656939;0.548457;15;22
0.564824;0.565964;0.565748;0.5479558;15;22
0.5647751;0.5659014;0.5658169;0.5474201;15;22
0.5647017;0.5658332;0.5659006;0.5468482;15;22
0.5646042;0.5657589;0.5659989;0.5462391;15;22
0.564483;0.5656782;0.5661119;0.5455914;15;22
0.5643379;0.5655906;0.5662398;0.544904;15;22
0.5641689;0.5654953;0.5663829;0.5441762;15;22
0.5639755;0.5653919;0.5665414;0.5434074;15;22
0.5637573;0.5652798;0.5667159;0.5425977;15;22
0.5635138;0.5651579;0.5669068;0.5417479;15;22
0.563244;0.5650257;0.5671149;0.540859;14;22
0.5629448;0.5580263;0.5796925;0.5399625;15;22
0.5626207;0.5578758;0.5799379;0.5390036;15;22
0.5622681;0.557712;0.5802037;0.5380156;15;22
0.5618866;0.5575342;0.5804912;0.5370038;15;22
0.5614755;0.557341;0.5808023;0.5359748;15;22
0.5610345;0.5571318;0.5811385;0.5349365;15;22
0.5605633;0.5569056;0.581502;0.5338975;15;22
0.5600623;0.5566617;0.5818945;0.5328679;14;22
0.6261129;0.560899;0.5225083;0.5532114;15;22
0.6255535;0.5606171;0.5229641;0.5522255;15;22
0.6249663;0.560316;0.5235309;0.5512816;15;22
0.6243532;0.5599959;0.5241327;0.5503908;15;22
0.6237163;0.5596574;0.5247676;0.549564;15;22
0.6230582;0.5593016;0.5254315;0.5488116;15;22
0.6223814;0.55893;0.5261171;0.5481438;15;22
0.6216896;0.5585451;0.5268143;0.5475705;15;22
0.6209856;0.5581498;0.5275089;0.5471014;15;22
0.620273;0.5577478;0.5281833;0.546747;15;22
0.6195549;0.5573439;0.5288181;0.5465177;15;22
0.6188343;0.5569434;0.5293931;0.546426;15;22
0.6181135;0.5565524;0.5298912;0.5464857;15;22
0.6173937;0.5561776;0.5302998;0.5467121;15;22
0.6166759;0.5558267;0.5306135;0.5471222;15;22
0.6159589;0.5555077;0.5308346;0.5477333;15;22
0.6152411;0.5552291;0.5309721;0.5485616;15;22
0.6145184;0.5549999;0.5310397;0.5496194;15;22
0.6137856;0.5548293;0.5310531;0.550911;15;22
0.6130353;0.5547268;0.5310277;0.5524309;15;22
0.6122583;0.5547018;0.5309772;0.5541593;15;22
0.6114434;0.5547639;0.5309128;0.5560631;15;22
0.610578;0.5549218;0.5308435;0.558097;15;22
0.6096482;0.5551834;0.5307756;0.5602085;15;22
0.6086391;0.5555544;0.530714;0.5623436;15;22
0.607537;0.5560383;0.530662;0.5644531;15;22
0.6063293;0.5566338;0.5306213;0.5664963;15;22
0.6050082;0.5573344;0.530593;0.5684441;15;22
0.6035715;0.558127;0.530577;0.5702786;15;22
0.6020254;0.5589912;0.5305725;0.571992;15;22
0.6003869;0.5598999;0.5305781;0.5735843;15;22
0.5986836;0.5608214;0.5305922;0.5750609;15;22
0.5969537;0.5617217;0.5306127;0.5764309;15;22
0.5952419;0.5625696;0.530638;0.5777045;15;22
0.593595;0.5633396;0.5306664;0.5788934;15;22
0.5920556;0.5640153;0.5306966;0.5800079;15;22
0.5906566;0.5645896;0.5307274;0.5810578;15;22
0.5894186;0.5650642;0.5307581;0.582052;15;22
0.5883483;0.5654474;0.5307876;0.5829974;5;22
0.5745153;0.4983434;0.7178953;0.5409526;15;22
0.5745145;0.4983429;0.7180464;0.5409334;15;22
0.5745147;0.498576;0.7167666;0.5408868;15;22
0.5745148;0.4988009;0.7155155;0.5408451;15;22
0.5745149;0.4990174;0.7143049;0.5408081;15;22
0.574515;0.4992256;0.713145;0.5407753;15;22
0.574515;0.499425;0.7120445;0.5407457;15;22
0.5745149;0.4996156;0.7110106;0.5407186;15;22
0.5745148;0.4997976;0.7100485;0.5406926;15;22
0.5745146;0.4999705;0.7091621;0.5406665;15;22
0.5745144;0.5001346;0.7083536;0.5406388;15;22
0.5745142;0.5002896;0.7076238;0.540608;15;22
0.574514;0.5004358;0.7069732;0.5405725;15;22
0.5745136;0.5005732;0.7064003;0.5405311;15;22
0.5745133;0.5007019;0.7059041;0.5404824;15;22
0.5745128;0.5008224;0.7054823;0.5404257;15;22
0.5745124;0.5009347;0.7051327;0.5403604;15;22
0.5745119;0.5010392;0.7048526;0.5402863;15;22
0.5745114;0.5011365;0.7046395;0.5402039;15;22
0.5745109;0.5012267;0.7044909;0.5401133;15;22
0.5745102;0.5013104;0.7044039;0.5400161;15;22
0.5745096;0.501388;0.7043764;0.5399129;14;22
0.5923681;0.4987865;0.7112101;0.53889;15;22
0.5923674;0.4988532;0.7113165;0.5387769;15;22
0.5923665;0.498915;0.7114745;0.5386627;15;22
0.5923654;0.4989723;0.7116821;0.5385493;15;22
0.5923645;0.4990253;0.7119377;0.5384386;15;22
0.5923634;0.4990744;0.7122397;0.5383324;15;22
0.5923623;0.4991201;0.7125869;0.5382332;15;22
0.5923609;0.4991626;0.7129781;0.5381429;15;22
0.5923597;0.4992021;0.7134117;0.5380634;15;22
0.646032;0.4993305;0.7225941;0.5386106;15;22
0.6460317;0.4993649;0.7231094;0.5385597;15;22
0.6460313;0.4993972;0.723664;0.5385265;15;22
0.6460308;0.4994275;0.7242568;0.5385132;15;22
0.6460303;0.499456;0.7248868;0.5385221;15;22
0.6460296;0.499483;0.7255527;0.5385552;15;22
0.6460288;0.4995087;0.7262533;0.5386152;14;22
0.6461006;0.5426216;0.7931584;0.4720374;15;22
0.6460995;0.5426449;0.7939236;0.4721577;15;22
0.6460984;0.5426683;0.7947185;0.4723116;15;22
0.6460971;0.5426909;0.7955412;0.4725012;15;22
0.6460958;0.542713;0.7963895;0.4727286;15;22
0.6460943;0.5427347;0.7972608;0.4729958;15;22
0.6460927;0.5427561;0.7981527;0.4733045;15;22
0.6460909;0.5427774;0.7990625;0.4736561;15;22
0.6460891;0.5427986;0.7999872;0.4740514;15;22
0.6460871;0.5428199;0.8009239;0.4744911;15;22
0.646085;0.5428413;0.8018697;0.4749749;15;22
0.6460828;0.542863;0.8028216;0.4755019;15;22
0.6460806;0.542885;0.8037767;0.4760704;15;22
0.6460781;0.5429076;0.8047322;0.4766775;15;22
0.6460755;0.5429325;0.8044559;0.4723522;15;22
0.646141;0.542972;0.786383;0.4722947;14;22
0.7128184;0.550513;0.770316;0.4784986;15;22
0.7124254;0.550388;0.8122688;0.4780072;15;22
0.7120966;0.550537;0.8096685;0.4917363;15;22
0.7104771;0.5502346;0.8154022;0.4927633;15;22
0.7114289;0.5501087;0.8153301;0.4864967;15;22
0.7103796;0.5504659;0.8152618;0.4871374;15;22
0.7089037;0.5505555;0.8151225;0.4828424;15;22
0.7103692;0.5505378;0.8151172;0.4870856;14;22
0.7130039;0.5504889;0.7483854;0.4210045;15;22
0.7130108;0.5505278;0.7483186;0.4215503;15;22
0.7130185;0.5505695;0.7482518;0.4220536;15;22
0.713027;0.5506136;0.7481848;0.422512;15;22
0.7130365;0.5506602;0.7481177;0.4229244;15;22
0.7130471;0.5507096;0.7480506;0.4232904;15;22
0.7130591;0.550762;0.747983;0.4236109;15;22
0.7130725;0.5508176;0.7479152;0.4238868;15;22
0.7130877;0.5508769;0.747847;0.4241202;15;22
0.7131048;0.5509399;0.7477783;0.4243127;15;22
0.7131242;0.5510073;0.747709;0.4244665;15;22
0.7131462;0.5510791;0.7476389;0.4245835;15;22
0.713171;0.5511559;0.7475682;0.424666;15;22
0.7131993;0.5512381;0.7474966;0.4247155;15;22
0.7132313;0.551326;0.7474242;0.4247336;15;22
0.7132676;0.5514203;0.7473508;0.4247214;15;22
0.7133088;0.5517191;0.7472764;0.4246801;15;22
0.7133552;0.55163;0.7472011;0.4246099;15;22
0.7134078;0.5519493;0.7471249;0.4245115;15;22
0.7134669;0.5520821;0.7470477;0.4243845;15;22
0.7135333;0.5522093;0.7469696;0.4242286;15;22
0.7136075;0.5523046;0.7468909;0.4240431;15;22
0.7136877;0.5500086;0.7468113;0.4238281;15;22
0.713133;0.5480446;0.7467313;0.4249484;15;22
0.7132381;0.5482314;0.7466509;0.4246632;14;22
0.6583093;0.5487197;0.7074746;0.4272987;15;22
0.658433;0.5489354;0.7073939;0.4269446;15;22
0.6585056;0.5491579;0.7072428;0.4268619;15;22
0.6585906;0.5493976;0.7070921;0.426758;15;22
0.6586889;0.549656;0.7069423;0.42663;15;22
0.6588011;0.5499343;0.7067936;0.4264743;15;22
0.6589279;0.5502336;0.706647;0.4262869;15;22
0.6590703;0.5505555;0.7065029;0.4260635;15;22
0.6592287;0.5509014;0.7063618;0.4257992;15;22
